source_table,itemid,category,label,feature_name,unit_or_window,type,transform_note,binning,final_usage
emar,,,Etomidate,sedatives,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,Ketamine,sedatives,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,Propofol,sedatives,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,ARIPiprazole,antipsychotic,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,Aripiprazole,antipsychotic,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,ChlorproMAZINE,antipsychotic,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,Clozapine,antipsychotic,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,Fluphenazine,antipsychotic,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,Haloperidol,antipsychotic,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,OLANZapine,antipsychotic,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,OLANZapine (Disintegrating Tablet),antipsychotic,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,PALIperidone ER,antipsychotic,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,PALIperidone Palmitate,antipsychotic,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,Perphenazine,antipsychotic,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,QUEtiapine Fumarate,antipsychotic,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,QUEtiapine extended-release,antipsychotic,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,RISperidone,antipsychotic,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,RisperiDONE,antipsychotic,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,RisperiDONE (Disintegrating Tablet),antipsychotic,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,RisperiDONE Long Acting Injection,antipsychotic,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,ZIPRASidone Hydrochloride,antipsychotic,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,ZIPRASidone Mesylate,antipsychotic,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,fluPHENAZine HCl,antipsychotic,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,lurasidone,antipsychotic,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,Vasopressin,vasopressor,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,DOBUTamine,vasopressor,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,PHENYLephrine,vasopressor,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,PHENYLEPHrine,vasopressor,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,NORepinephrine,vasopressor,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,Norepinephrine,vasopressor,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
,,,,,,,,,
